data_vencimento,data_pagamento,descricao,valor,situacao
2024-01-01,2024-01-02,Conta de Luz,1000.00,PENDENTE
2024-02-01,2024-02-02,Conta de Água,500.00,PAGA
2024-03-01,2024-03-02,Conta de Internet,200.00,PENDENTE
2024-04-01,2024-04-02,Conta de Telefone,150.00,PAGA
2024-05-01,2024-05-02,Conta de Gás,300.00,PENDENTE
2024-06-01,2024-06-02,Aluguel,1200.00,PAGA
2024-07-01,2024-07-02,Seguro do Carro,800.00,PENDENTE
2024-08-01,2024-08-02,Mensalidade Escola,450.00,PAGA
2024-09-01,2024-09-02,Academia,100.00,PENDENTE
2024-10-01,2024-10-02,Plano de Saúde,600.00,PAGA
2024-11-01,2024-11-02,IPTU,700.00,PENDENTE
2024-12-01,2024-12-02,IPVA,750.00,PAGA
2024-01-05,2024-01-06,Conta de Luz,1100.00,PENDENTE
2024-02-05,2024-02-06,Conta de Água,550.00,PAGA
2024-03-05,2024-03-06,Conta de Internet,210.00,PENDENTE
2024-04-05,2024-04-06,Conta de Telefone,160.00,PAGA
2024-05-05,2024-05-06,Conta de Gás,320.00,PENDENTE
2024-06-05,2024-06-06,Aluguel,1250.00,PAGA
2024-07-05,2024-07-06,Seguro do Carro,820.00,PENDENTE
2024-08-05,2024-08-06,Mensalidade Escola,460.00,PAGA
2024-09-05,2024-09-06,Academia,110.00,PENDENTE
2024-10-05,2024-10-06,Plano de Saúde,620.00,PAGA
2024-11-05,2024-11-06,IPTU,710.00,PENDENTE
2024-12-05,2024-12-06,IPVA,760.00,PAGA
2024-01-10,2024-01-11,Conta de Luz,1200.00,PENDENTE
2024-02-10,2024-02-11,Conta de Água,600.00,PAGA
2024-03-10,2024-03-11,Conta de Internet,220.00,PENDENTE
2024-04-10,2024-04-11,Conta de Telefone,170.00,PAGA
2024-05-10,2024-05-11,Conta de Gás,330.00,PENDENTE
